Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
3,Orlando,Orange_FL,FL,80.1,87,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,Louisville,Jefferson_KY,KY,39,65,10,8.1,0,Clear,TRUE,FALSE,FALSE,twilight
2,Dayton,Montgomery_OH,OH,57.2,100,10,1.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
4,Gray,Jones_GA,GA,78.8,94,10,0,0,Overcast,FALSE,FALSE,FALSE,day
2,Fultonville,Montgomery_NY,NY,73.4,50,15,9.2,0,Clear,TRUE,FALSE,FALSE,day
2,Fort Myers,Lee_FL,FL,72,71,10,20,0,Fair,FALSE,FALSE,TRUE,day
2,Nephi,Juab_UT,UT,37.4,87,6,6.9,0.01,Rain,FALSE,FALSE,FALSE,day
2,Fullerton,Orange_CA,CA,81,33,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Atlanta,Fulton_GA,GA,77,62,10,5.8,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,San Bernardino,San Bernardino_CA,CA,75.2,69,5,0,0,Haze,FALSE,FALSE,FALSE,day
2,Venice,Sarasota_FL,FL,66.2,94,9,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,San Francisco,San Francisco_CA,CA,70,49,10,12.7,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Los Angeles,Los Angeles_CA,CA,57,36,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,South Haven,Allegan_MI,MI,29.7,84,5,12.7,0,Light Snow,FALSE,FALSE,FALSE,night
2,Austin,Travis_TX,TX,93,44,10,8.1,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Sun City,Maricopa_AZ,AZ,78.8,54,10,5.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Baton Rouge,East Baton Rouge_LA,LA,78.1,50,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Salina,Sevier_UT,UT,43,87,10,6,0,Cloudy,TRUE,FALSE,FALSE,day
2,Spokane Valley,Spokane_WA,WA,39,76,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Saint Paul,Ramsey_MN,MN,55,88,10,10,0,Cloudy,FALSE,FALSE,FALSE,day
2,Tucson,Pima_AZ,AZ,83,49,10,8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Nashville,Davidson_TN,TN,75,48,10,6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,San Jose,Santa Clara_CA,CA,50,89,6,15,0.01,Light Rain,FALSE,FALSE,FALSE,twilight
2,Newark,Alameda_CA,CA,55.4,94,10,4.6,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Decatur,DeKalb_GA,GA,75,87,10,3.5,0.27,Light Rain,TRUE,FALSE,FALSE,night
2,Tuckerton,Ocean_NJ,NJ,28.9,96,1.8,0,0.05,Light Snow,FALSE,FALSE,FALSE,night
2,Denver,Denver_CO,CO,33.1,54,10,4.6,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Lebanon,Boone_IN,IN,71.1,91,7,9.2,0,Overcast,FALSE,FALSE,FALSE,day
2,Oklahoma City,Oklahoma_OK,OK,45,97,3,13.8,0.29,Rain,FALSE,FALSE,TRUE,day
3,Sylmar,Los Angeles_CA,CA,68,46,7,0,0,Haze,FALSE,FALSE,FALSE,day
3,Alexandria,Alexandria_VA,VA,84,72,10,18.4,0,Mostly Cloudy,TRUE,FALSE,FALSE,day
2,Ambler,Montgomery_PA,PA,44.6,100,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Antioch,Contra Costa_CA,CA,57,89,5,0,0,Overcast,FALSE,FALSE,FALSE,night
3,Dallas,Dallas_TX,TX,68,87,10,4.6,0,Light Rain,FALSE,FALSE,FALSE,day
2,Santa Rosa,Sonoma_CA,CA,55.9,42,10,4.6,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Grand Rapids,Kent_MI,MI,23,96,4,0,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Miami,Miami-Dade_FL,FL,81,88,10,0,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Tampa,Hillsborough_FL,FL,53.6,47,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,New York,New York_NY,NY,32,23,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
3,Cincinnati,Hamilton_OH,OH,81,62,10,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Santa Fe Springs,Los Angeles_CA,CA,57,87,4,0,0,Overcast,FALSE,FALSE,TRUE,day
2,Flint,Genesee_MI,MI,78.1,40,10,11.5,0,Clear,FALSE,FALSE,FALSE,twilight
2,Tacoma,Pierce_WA,WA,89.6,46,10,10.4,0,Clear,FALSE,FALSE,FALSE,twilight
2,Flat Rock,Henderson_NC,NC,71,81,10,3,0,Cloudy,FALSE,FALSE,FALSE,day
2,Woodruff,Spartanburg_SC,SC,80.6,58,7,4.6,0,Overcast,FALSE,FALSE,FALSE,day
3,Rochester,Monroe_NY,NY,12,73,3,15,0,Light Snow,TRUE,FALSE,FALSE,day
3,Newark,Essex_NJ,NJ,79,74,10,13,0,Cloudy,TRUE,FALSE,FALSE,day
2,Chicago,Cook_IL,IL,75,73,10,0,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Montclair,San Bernardino_CA,CA,66.2,37,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
3,Flint,Genesee_MI,MI,69.1,81,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Buffalo Grove,Lake_IL,IL,36,46,10,12.7,0,Overcast,FALSE,FALSE,TRUE,day
2,La Puente,Los Angeles_CA,CA,66.2,68,10,4.6,0,Scattered Clouds,FALSE,FALSE,FALSE,night
3,Nashville,Davidson_TN,TN,60.1,62,10,16.1,0,Overcast,FALSE,FALSE,FALSE,day
2,Tampa,Hillsborough_FL,FL,82.9,41,10,10.4,0,Scattered Clouds,FALSE,FALSE,TRUE,day
2,Charlotte,Mecklenburg_NC,NC,48,86,10,9.2,0,Overcast,FALSE,FALSE,FALSE,day
2,Seattle,King_WA,WA,35.1,85,10,4.6,0,Overcast,FALSE,FALSE,FALSE,day
3,Saint Petersburg,Pinellas_FL,FL,66.9,33,10,17.3,0,Clear,FALSE,FALSE,FALSE,day
2,Concord,Contra Costa_CA,CA,63,78,2,6.9,0,Rain,FALSE,FALSE,FALSE,day
2,Saint Louis,St. Louis County_MO,MO,46.9,39,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
3,Downey,Los Angeles_CA,CA,62.1,72,10,3.5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
